url,naziv,cijena,lokacija,lat,lng,Kvadrata,Broj soba,Adresa,Godina izgradnje,Primarna orjentacija
https://www.olx.ba/artikal/31132056/stan-sa-1-spavacom-sobom/,[IZDAVANJE] Stan sa 1 spavacom sobom.,400 KM,Novo Sarajevo,43.848575,18.380615,37,Dvosoban (2),Dzamiska 15,1970-1979,Istok
https://www.olx.ba/artikal/28081732/exclusive-stan-60m2/,[IZDAVANJE] EXCLUSIVE stan 60m2,800 KM,Novo Sarajevo,43.853712,18.38818,60,Dvosoban (2),Kolodvorska,,Sjeveroistok
https://www.olx.ba/artikal/31344526/luksuzan-trosoban-stan-sa-parking-mjestom-pofalici/,"[IZDAVANJE] Luksuzan trosoban stan sa parking mjestom, Pofalići!",2.000 KM,Novo Sarajevo,43.852722,18.388061,80,Trosoban (3),Zmaja od Bosne,2010+,Jugoistok
https://www.olx.ba/artikal/31017750/izdajem-stan-sarajevo-novogradnja/,[IZDAVANJE] Izdajem stan Sarajevo novogradnja,380 KM,Ilidža,43.858178,18.41222,38,Jednoiposoban (1.5),,,
https://www.olx.ba/artikal/31431532/trosoban-stan-na-breki/,[IZDAVANJE] Trosoban stan na Breki,800 KM,Sarajevo - Centar,43.870051,18.417373,74,Trosoban (3),Jovana Bijelića,,
https://www.olx.ba/artikal/31304005/trosoban-stan-centar-jezero-kosevo/,"[IZDAVANJE] Trosoban stan centar, Jezero, Koševo!",450 KM,Sarajevo - Centar,43.873168,18.412465,62,Trosoban (3),Patriotske lige 38,,Jugozapad
https://www.olx.ba/artikal/31411891/stan-u-novogradnji-sa-parking-mjestom-dobrinja/,"[IZDAVANJE] Stan u novogradnji sa parking mjestom, Dobrinja!",450 KM,"Sarajevo, Novi Grad",43.827379,18.339715,53,Dvosoban (2),Andreja Andrejevića 136b,Novogradnja,Jugoistok
https://www.olx.ba/artikal/31359739/stan-na-dan-sarajevo-centar-sobe-apartmani/,"[IZDAVANJE] STAN NA DAN,SARAJEVO-CENTAR,SOBE,APARTMANI",40 KM,Sarajevo - Centar,43.856259,18.413076,87,Petosoban i više,Sutjeska br. 18,1960-1969,Jugozapad
https://www.olx.ba/artikal/30958515/ilidza-pejton-namjesten-dvosoban-stan/,"[IZDAVANJE] Ilidza , Pejton, namjesten dvosoban stan!",350 KM,Ilidža,43.834471,18.304374,61,Dvosoban (2),Edhema Eke Dzubura,,
https://www.olx.ba/artikal/31033175/stan-kod-bbi-80-m2-ekskluzivan-sarajevo-centar/,[IZDAVANJE] Stan kod BBI 80 m2 EKSKLUZIVAN Sarajevo - Centar,850 KM,Sarajevo - Centar,43.859075,18.417003,80,Trosoban (3),Ulica Kosevo,,Jugoistok
https://www.olx.ba/artikal/30399012/my-space-stan-dolac-malta-envera-sehovica-70-m2/,[IZDAVANJE] MY SPACE/ Stan/ Dolac Malta/ Envera Sehovica/ 70 m2,590 KM,Novo Sarajevo,43.853488,18.382525,70,Dvosoban (2),Envera Šehovića,,
https://www.olx.ba/artikal/29975568/stan-na-dan-sarajevo/,[IZDAVANJE] STAN NA DAN - SARAJEVO,40 KM,"Sarajevo, Novi Grad",43.848037,18.345207,27,Garsonjera,dzemala bijedica 160  naselje miljacka,,
https://www.olx.ba/artikal/31416314/centar-namjesten-dvosoban-stan-80m2-sa-garazom/,[IZDAVANJE] Centar. Namješten dvosoban stan 80m2 sa garažom,1.200 KM,Sarajevo - Centar,43.855454,18.417454,80,Dvosoban (2),Hamdije Kreševljakovića,2000-2009,Jug
https://www.olx.ba/artikal/31441830/dvosoban-stan-sa-otvorenim-pogledom-novo-sarajevo/,"[IZDAVANJE] Dvosoban stan sa otvorenim pogledom, Novo Sarajevo",500 KM,Novo Sarajevo,43.851341,18.372531,58,Dvosoban (2),Nedima Filipovića,,
